title	href	time
集体宿舍证明（办理居住证使用）	http://baowei.tongji.edu.cn/_upload/article/files/df/22/521d3960481faee6a18597fb4253/751a78c8-eb9a-4217-ac4c-556f6d76463a.docx	2018-01-03
附件二-大型群众性活动安全许可申请表	http://baowei.tongji.edu.cn/_upload/article/files/78/a5/57273b6c4db296609b9c222bf644/fbedc05f-aed0-474b-b034-adab878c71de.doc	2016-05-28
2017年户口迁移证电子名单样张	http://baowei.tongji.edu.cn/_upload/article/files/23/2c/5697a60f43b39d3140193e1c5496/19078839-a9a2-48e0-9df4-85126c55b6be.xls	2016-05-28
附件1：同济大学安全自查报告表	http://baowei.tongji.edu.cn/_upload/article/files/cc/5a/3564d2da4e58877ee61368f8f738/8c822d27-b093-4079-b12d-2765e533d8ce.docx	2016-05-28
同济大学公共场所治安管理登记表	http://baowei.tongji.edu.cn/_upload/article/files/c2/34/eb6595954bf6a85fdc72a4c69b69/1897b943-6d4b-465a-9798-6022130c1b5f.doc	2016-05-28
附件一-大型群众性活动安全许可申请需提供的材料	http://baowei.tongji.edu.cn/_upload/article/files/29/64/0369904f4f0c8224cd600294ef83/cea92c49-1cf0-41a4-b036-2de0df6c74d1.doc	2016-05-28
无犯罪记录证明	http://baowei.tongji.edu.cn/_upload/article/files/f2/12/39e7dfd84005b8123ccaecdc59c0/ed5d2344-3160-4997-b8d0-f328cece4785.doc	2016-05-28
附件三：大型群众性活动安全责任承诺书（暂行）	http://baowei.tongji.edu.cn/_upload/article/files/48/ae/1e207d5643c996114c9f9a0105f3/6d8af22c-ade9-4a7c-bf76-625e4de2d558.doc	2016-05-28
关于补办身份证的申请	http://baowei.tongji.edu.cn/_upload/article/files/c1/77/fe3ad5fd4439a28459b7e10d1ef7/03b76cd3-340c-4706-862d-81a11f3da3cc.doc	2016-05-28
C类同济大学在校学生学籍证明	http://baowei.tongji.edu.cn/_upload/article/files/92/af/6729e02e46d4adbba6b047ad8853/45935568-3a1a-43b4-aeaf-49719e2167bf.docx	2017-06-29
同济大学毕业生学籍证明	http://baowei.tongji.edu.cn/_upload/article/files/a3/70/21ae18c44f90a31bab78f555481e/b0a15927-c819-46f5-a303-43ec389f2bf7.docx	2017-06-29
A类同济大学在校学生学籍证明	http://baowei.tongji.edu.cn/_upload/article/files/30/28/0974a37349e8a8c70e42ff58c3b6/7228851f-2a09-48ba-b6ed-75dcab50af1a.docx	2017-06-29
B类同济大学在校学生学籍证明	http://baowei.tongji.edu.cn/_upload/article/files/7d/86/c66aa97b40aa88cac0fefd3f2917/a4f08190-c322-4b48-a42c-6c4907c795bb.docx	2017-06-29
同济大学外来人员登记表	http://baowei.tongji.edu.cn/_upload/article/files/37/8a/8780ce66429eb6c432b418a4200a/b36266d6-5754-4c3c-a9ba-e643ad5152ef.doc	2016-05-28
