title	href	time
关于2017年度发票截止报销日期的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17479&t=show	2018-01-11
关于2018年1月和2月酬金办理时间的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17470&t=show	2018-01-10
关于科研项目业务费卡和绩效费卡的说明	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17468&t=show	2018-01-08
财务处关于2018年终奖计税酬金相关事宜的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17465&t=show	2018-01-02
财务处关于年终预约报销清理工作的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17463&t=show	2017-12-24
财务处关于年终报销事宜的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17458&t=show	2017-12-12
关于2017年12月酬金办理时间的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17457&t=show	2017-12-11
关于做好2017年年终财务结算工作的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17451&t=show	2017-11-16
关于转发执行财政部《中央财政科研项目专家咨询费管理办法》的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17450&t=show	2017-11-16
关于2017年11月酬金办理时间的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17449&t=show	2017-11-15
关于年底报销事宜提醒的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17447&t=show	2017-10-30
关于2017年10月酬金办理时间的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17443&t=show	2017-10-16
关于科研经费管理相关业务办理搬迁至综合服务大厅的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17439&t=show	2017-10-09
关于国庆期间网上平台暂停校外访问的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17438&t=show	2017-09-30
关于2017年9月酬金办理时间的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17425&t=show	2017-09-14
关于同济大学缴费平台缴费方式的特别提醒	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17414&t=show	2017-09-04
关于同济大学2017-2018学年第一学期学费缴纳的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17412&t=show	2017-08-28
关于同济大学公务卡批量更换为芯片卡的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17411&t=show	2017-08-18
2017级新生缴费及中国农业银行借记卡事项须知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17410&t=show	2017-08-04
关于商业健康保险进行个人所得税税前扣除的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17407&t=show	2017-07-18
关于同济大学科技项目结题结账的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17404&t=show	2017-07-14
关于2017年7月和8月酬金办理时间的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17403&t=show	2017-07-13
财务处关于2017年暑假工作安排的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17402&t=show	2017-07-11
关于开通缴费平台的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17399&t=show	2017-07-06
关于暂时关闭缴费平台的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17391&t=show	2017-07-05
关于2017年度住房公积金调整及查询有关事项的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17390&t=show	2017-07-05
关于本研学历学位学生停止离校循环表盖章的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17384&t=show	2017-06-26
关于增值税普通发票开具有关事项的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17383&t=show	2017-06-22
关于2016年度发票截止报销日期的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17381&t=show	2017-06-19
关于2017年6月酬金办理时间的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17377&t=show	2017-06-09
关于规范电子发票报销的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17376&t=show	2017-06-09
关于2017年5月酬金办理时间的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17370&t=show	2017-05-10
同济大学关于教职工个人公益性捐赠申请税前扣除事项的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17366&t=show	2017-05-10
关于2016年国家自然科学基金项目结题结账的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17363&t=show	2017-04-27
关于更改学校科研合同等到款账户的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17362&t=show	2017-04-26
关于财务综合服务系统4月21日暂停网上预约功能的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17358&t=show	2017-04-19
关于2017年4月酬金办理时间的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17357&t=show	2017-04-10
