title	href	time
财务处网上缴费平台使用流程	http://tjcwc.tongji.edu.cn/index.php?classid=9740&action=download&id=2001	2018-01-10
同济大学财务处原始凭证查询申请	http://tjcwc.tongji.edu.cn/index.php?classid=9740&action=download&id=2013	2017-11-01
学生酬金网上查询方法	http://tjcwc.tongji.edu.cn/index.php?classid=9740&action=download&id=2002	2017-01-13
同济大学缴款通知书	http://tjcwc.tongji.edu.cn/index.php?classid=9740&action=download&id=1988	2016-06-27
票据签收确认函	http://tjcwc.tongji.edu.cn/index.php?classid=9740&action=download&id=1992	2016-06-25
同济大学开立履约保函申请书	http://tjcwc.tongji.edu.cn/index.php?classid=9740&action=download&id=1987	2016-06-25
同济大学银行资信证明申请单	http://tjcwc.tongji.edu.cn/index.php?classid=9740&action=download&id=1986	2016-06-25
中华人民共和国会计从业资格证书补发申请表	http://tjcwc.tongji.edu.cn/index.php?classid=9740&action=download&id=1985	2016-06-25
调入地工作证明	http://tjcwc.tongji.edu.cn/index.php?classid=9740&action=download&id=1993	2016-06-25
上海市会计从业人员基础信息登记表（变更）	http://tjcwc.tongji.edu.cn/index.php?classid=9740&action=download&id=1991	2016-06-25
上海市会计从业人员基础信息登记表（变更）填表说明	http://tjcwc.tongji.edu.cn/index.php?classid=9740&action=download&id=1990	2016-06-25
同济大学会议收费立项申请表	http://tjcwc.tongji.edu.cn/index.php?classid=9739&action=download&id=1984	2016-06-25
同济大学经费卡更改项目负责人申请表	http://tjcwc.tongji.edu.cn/index.php?classid=9739&action=download&id=1983	2016-06-25
同济大学经费卡恢复初始密码申请	http://tjcwc.tongji.edu.cn/index.php?classid=9739&action=download&id=1981	2016-06-25
基本科研业务费（人文社科重大项目）预算调整申请表	http://tjcwc.tongji.edu.cn/index.php?classid=9737&action=download&id=2016	2017-11-27
其他科技项目预算表(通用模板）	http://tjcwc.tongji.edu.cn/index.php?classid=9737&action=download&id=2012	2017-10-24
其他科技项目预算调整申请表	http://tjcwc.tongji.edu.cn/index.php?classid=9737&action=download&id=2011	2017-10-24
国家自然基金项目预算调整申请表（2015年以前立项）	http://tjcwc.tongji.edu.cn/index.php?classid=9737&action=download&id=2010	2017-10-24
国家科技计划项目预算调整申请表	http://tjcwc.tongji.edu.cn/index.php?classid=9737&action=download&id=2009	2017-10-24
国家科技计划项目经费支出合并决算表	http://tjcwc.tongji.edu.cn/index.php?classid=9737&action=download&id=2008	2017-10-24
同济大学科技项目预算分配表	http://tjcwc.tongji.edu.cn/index.php?classid=9737&action=download&id=2007	2017-10-24
国家自然基金项目预算调整申请表(2015年以后立项)	http://tjcwc.tongji.edu.cn/index.php?classid=9737&action=download&id=2006	2017-10-24
国家社科基金预算调整表	http://tjcwc.tongji.edu.cn/index.php?classid=9737&action=download&id=2005	2017-06-19
上海市科技计划项目预算调整申请表	http://tjcwc.tongji.edu.cn/index.php?classid=9737&action=download&id=1975	2016-06-25
同济大学科技项目结余经费结账申请表	http://tjcwc.tongji.edu.cn/index.php?classid=9737&action=download&id=1974	2016-06-25
同济大学使用科研经费支付自筹经费研究生培养费审批表	http://tjcwc.tongji.edu.cn/index.php?classid=9737&action=download&id=1973	2016-06-25
同济大学项目经费使用授权委托书	http://tjcwc.tongji.edu.cn/index.php?classid=9737&action=download&id=1972	2016-06-25
同济大学教职工个人公益性捐赠税前扣除申请书	http://tjcwc.tongji.edu.cn/index.php?classid=9738&action=download&id=2003	2017-05-10
增值税税收计算表	http://tjcwc.tongji.edu.cn/index.php?classid=9738&action=download&id=1980	2016-06-25
现场访谈或者勘察专家咨询费支付申请表	http://tjcwc.tongji.edu.cn/index.php?classid=9736&action=download&id=2015	2017-11-16
酬金重新发放申请单	http://tjcwc.tongji.edu.cn/index.php?classid=9736&action=download&id=1999	2016-12-21
校外人员信息表内容	http://tjcwc.tongji.edu.cn/index.php?classid=9736&action=download&id=1994	2016-07-01
同济大学酬金发放签收表	http://tjcwc.tongji.edu.cn/index.php?classid=9736&action=download&id=1971	2016-06-25
党费报销预约表格	http://tjcwc.tongji.edu.cn/index.php?classid=9735&action=download&id=2014	2017-11-07
同济大学市内出差报销单	http://tjcwc.tongji.edu.cn/index.php?classid=9735&action=download&id=2000	2017-01-10
国家科技计划项目流动人员出国情况说明	http://tjcwc.tongji.edu.cn/index.php?classid=9735&action=download&id=1998	2016-12-05
发票遗失情况说明	http://tjcwc.tongji.edu.cn/index.php?classid=9735&action=download&id=1996	2016-09-26
同济大学会议审批表	http://tjcwc.tongji.edu.cn/index.php?classid=9735&action=download&id=1964	2016-09-01
同济大学会议收费立项申请表	http://tjcwc.tongji.edu.cn/index.php?classid=9735&action=download&id=1997	2016-09-01
同济大学财务处网上预约系统使用说明	http://tjcwc.tongji.edu.cn/index.php?classid=9735&action=download&id=1968	2016-06-26
同济大学财务处报销费用进农行借记卡信息单	http://tjcwc.tongji.edu.cn/index.php?classid=9735&action=download&id=1969	2016-06-25
同济大学出国（境）费用报销表	http://tjcwc.tongji.edu.cn/index.php?classid=9735&action=download&id=1966	2016-06-25
同济大学国内公务接待审批表、接待清单	http://tjcwc.tongji.edu.cn/index.php?classid=9735&action=download&id=1965	2016-06-25
同济大学教工（学生）活动费用报销清单	http://tjcwc.tongji.edu.cn/index.php?classid=9735&action=download&id=1963	2016-06-25
同济大学接待外籍人员费用报销清单	http://tjcwc.tongji.edu.cn/index.php?classid=9735&action=download&id=1962	2016-06-25
同济大学外埠差旅费报销单	http://tjcwc.tongji.edu.cn/index.php?classid=9735&action=download&id=1960	2016-06-25
同济大学项目经费使用授权委托书	http://tjcwc.tongji.edu.cn/index.php?classid=9735&action=download&id=1959	2016-06-25
同济大学专项经费购置图书资料审核单	http://tjcwc.tongji.edu.cn/index.php?classid=9735&action=download&id=1957	2016-06-25
