title	answer	time	href
本专科生咨询学费缴纳情况的渠道？	有关学费缴纳方面的问题由财务处人员经费科负责咨询和办理。联系电话65984345。此外，财务处有关通知和公告及学费缴费情况可登录http:/cwc.tongji.edu.cn/ 财务处网站查询。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9782&newsid=17067&t=show
向银行申请办理国家助学贷款如何办理？是否有额度限制？	向银行申请办理助学贷款请向学生处国家助学贷款办公室咨询和办理。目前具有正式学籍的学生的助学贷款限额为6000元/学年。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9782&newsid=17063&t=show
助学贷款利息如何支付？	国家助学贷款的学生，在校期间享受国家免息政策，毕业后（从当年7月1日起）的借款利息由学生本人全额支付。利息不按时支付者将纳入银行的诚信记录不良名单，对以后的工作、生活都会产生负面影响，请同学们务必珍惜自己的信用。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9782&newsid=17065&t=show
研究生经济困难需申请缓缴培养费、住宿费如何办理？	确因家庭经济困难需申请缓缴的学生，应由本人提出书面申请，交所在学院同意，报研究生院审核后，到财务处办理缓缴手续，待银行助学贷款到账后，到财务处办理缴费。已获得银行助学贷款的学生，直接到财务处办理缴费手续。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9782&newsid=17061&t=show
学期当中可以退宿吗？	可以退宿。每学年按十个月收取住宿费，住宿费用缴纳的最小单位为一个月。不满一个月的按一个月收取。建议在每年寒暑假之前的月底前提出退宿申请并经批准、办妥有关手续。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9782&newsid=17066&t=show
国家助学贷款如何发放？为何会与所申请金额不符？	国家助学贷款先由银行划拨到学校帐上，经财务处统一处理后转入学费，冲抵学费贷款剩余部分再划入学生银行卡上。因助学贷款的申请有相应的规则，有可能出现实际发放金额与所申请金额不相符的情况，以银行最后审核通过的金额为准。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9782&newsid=17064&t=show
研究生普通奖学金如何发放？	研究生普通奖学金，发放对象为计划内非定向生和自筹经费生，现每月20日由财务处直接打入学生的银行卡上，遇节假日顺延。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9782&newsid=17062&t=show
本专科生经济困难需申请缓缴学费如何办理？	因家庭经济困难，可向银行申请办理国家助学贷款。因特殊原因需申请缓缴的学生，应由本人提出书面申请，学生所在学院同意，报学生处核准后，到财务处办理缓缴学费手续。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9782&newsid=17060&t=show
研究生拖欠缴纳培养费、住宿费有何规定？	研究生都应该在规定的期限内缴纳款项，否则不予注册。若至学期结束仍未交清者，学习成绩不予登记，不办理论文答辩手续。欠费学生如果享有研究生普通奖学金者，学校停发其普通奖学金，待缴清欠费后恢复但不补发因欠费停发的普通奖学金。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9782&newsid=17058&t=show
本专科生拖欠缴纳学费、住宿费有何规定？	本专科生都应该在规定的期限内缴纳款项，否则不予注册。按规定办理注册手续，是学校学籍和学生管理的重要组成部分，既是学生维持其学籍的一种手段，也是学校管理工作的需要。超过学校规定期限未注册又无正当理由的，可视为放弃学籍，按自动退学处理。按规定缴纳学费及有关费用履行应尽义务和获得奖学金及助学金等权利这是《普通高等学校学生管理规定》所规定的。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9782&newsid=17057&t=show
学杂费收据需要保存吗？	学杂费收据是重要凭证，以后若需退款或出国留学等，都要提供学杂费收据，请务必妥善保存，遗失不补。领取收据的途径：开学两周后或缴费成功7个工作日后到四平校区行政北楼212室，凭本人一卡通等证明本人身份的证件领取，也可由学院派人统一领取。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9782&newsid=17059&t=show
