title	href	time
票据验真方法提示	http://tjcwc.tongji.edu.cn/index.php?classid=9733&newsid=16834&t=show	2016-06-25
研究生论文答辩费发放流程	http://tjcwc.tongji.edu.cn/index.php?classid=9730&newsid=17283&t=show	2016-10-25
关于非居民在我校取得劳务所得需要享受税收协定待遇的办理方法	http://tjcwc.tongji.edu.cn/index.php?classid=9730&newsid=17262&t=show	2016-08-20
新酬金预约办理注意事项	http://tjcwc.tongji.edu.cn/index.php?classid=9730&newsid=17181&t=show	2016-07-11
同济大学财务处酬金预约指南（试用版）	http://tjcwc.tongji.edu.cn/index.php?classid=9730&newsid=17144&t=show	2016-07-04
个税网上申报和纳税明细查询小贴士	http://tjcwc.tongji.edu.cn/index.php?classid=9730&newsid=16819&t=show	2016-06-25
职工工资薪金计税注意事项	http://tjcwc.tongji.edu.cn/index.php?classid=9730&newsid=16818&t=show	2016-06-25
因公临时出国需学校外办审批的事项	http://tjcwc.tongji.edu.cn/index.php?classid=9727&newsid=17313&t=show	2016-12-07
同济大学开票信息	http://tjcwc.tongji.edu.cn/index.php?classid=9727&newsid=16831&t=show	2016-07-12
学生缴费流程	http://tjcwc.tongji.edu.cn/index.php?classid=9727&newsid=16801&t=show	2016-06-30
增值税专用发票开票流程	http://tjcwc.tongji.edu.cn/index.php?classid=9727&newsid=16799&t=show	2016-06-30
补缴公积金流程	http://tjcwc.tongji.edu.cn/index.php?classid=9727&newsid=16813&t=show	2016-06-29
个人所得税网上纳税申报操作流程	http://tjcwc.tongji.edu.cn/index.php?classid=9727&newsid=16810&t=show	2016-06-29
科研可行性方案、预算书、合同任务书、预算执行情况表等使用财务处公章和财务负责人签章流程	http://tjcwc.tongji.edu.cn/index.php?classid=9727&newsid=16808&t=show	2016-06-29
项目投标办理税务登记证、开户许可证、财务报表等材料复印件流程	http://tjcwc.tongji.edu.cn/index.php?classid=9727&newsid=16805&t=show	2016-06-29
办理项目投标用银行资信证明流程	http://tjcwc.tongji.edu.cn/index.php?classid=9727&newsid=16816&t=show	2016-06-27
会计原始凭证查询流程	http://tjcwc.tongji.edu.cn/index.php?classid=9727&newsid=16809&t=show	2016-06-27
退休教职工提取公积金须知	http://tjcwc.tongji.edu.cn/index.php?classid=9727&newsid=16829&t=show	2016-06-25
新进员工办理交行工资卡流程	http://tjcwc.tongji.edu.cn/index.php?classid=9727&newsid=16803&t=show	2016-06-25
办理银行保函流程	http://tjcwc.tongji.edu.cn/index.php?classid=9727&newsid=16815&t=show	2016-06-21
非学历办班审批流程和财务管理流程	http://tjcwc.tongji.edu.cn/index.php?classid=9727&newsid=16811&t=show	2016-06-21
同济大学科研经费预决算办理须知	http://tjcwc.tongji.edu.cn/index.php?classid=9731&newsid=16823&t=show	2016-06-25
财务处办事指引	http://tjcwc.tongji.edu.cn/index.php?classid=9728&newsid=16832&t=show	2016-06-30
同济大学电子发票认证指南	http://tjcwc.tongji.edu.cn/index.php?classid=9729&newsid=17378&t=show	2017-06-09
同济大学财务报销手册	http://tjcwc.tongji.edu.cn/index.php?classid=9729&newsid=17343&t=show	2017-03-02
同济大学科研项目经费使用和报销手册	http://tjcwc.tongji.edu.cn/index.php?classid=9729&newsid=17342&t=show	2017-02-28
同济大学报销须知	http://tjcwc.tongji.edu.cn/index.php?classid=9729&newsid=16826&t=show	2016-06-26
关于报销款入账的几点说明	http://tjcwc.tongji.edu.cn/index.php?classid=9729&newsid=17196&t=show	2016-06-25
业务流程	http://tjcwc.tongji.edu.cn/index.php?classid=9729&newsid=16827&t=show	2016-06-25
审核报销大厅人员联系电话	http://tjcwc.tongji.edu.cn/index.php?classid=9729&newsid=16822&t=show	2016-06-25
项目授权管理使用说明	http://tjcwc.tongji.edu.cn/index.php?classid=9729&newsid=16820&t=show	2016-06-25
